State,DMA,AffiliateName,channel,MetroMarket,latitude,longitude,number_of_listeners
MD,Salisbury,WJWL-AM,900,"Milford, DE",38.912613,-75.427975,319018
MI,Detroit,WHPR-FM,88.1,"Detroit, MI",42.331427,-83.045754,293919
MN,Minneapolis-St. Paul,KBGY-FM,107.5,"Ramsy, MN",45.2611,-93.45,66494
MN,"Rochester-Mason City-Austin, MN",KBGY-FM,107.5,"Ramsy, MN",45.2611,-93.45,171543
MO,Kansas City,KDTD-AM,1340,"Kansas City, KS",39.114053,-94.627464,328705
MO,Kansas City,KCZZ-AM,1480,"Kansas City, KS",39.114053,-94.627464,179563
NC,Charlotte,WRRZ-AM,880,"Clinton, NC",34.997945,-78.323332,249007
NC,Charlotte,WZKB-FM,94.3,"Clinton, NC",34.997945,-78.323332,305207
NC,Charlotte,WXNC-AM,1060,"Charlotte, NC",35.227087,-80.843127,268839
NC,Charlotte,WICE-LP,97.1,"Hendersonville, NC",35.318728,-82.460953,47242
NC,Charlotte,WOLS-FM,106.1,"Charlotte, NC",35.227087,-80.843127,31606
NC,Charlotte,WGSP-FM,102.3,"Charlotte, NC",35.227087,-80.843127,268236
NC,Charlotte,WGSP-AM,1310,"Charlotte, NC",35.227087,-80.843127,61624
NC,Greensboro-High Point-Win. Salem,WIST-FM,98.3,"High Point, NC",35.955692,-80.005318,384564
NC,Greensboro-High Point-Win. Salem,WBLO-AM,790,"High Point, NC",35.955692,-80.005318,382546
NC,Greensboro-High Point-Win. Salem,WREV-AM,1220,"Washington, DC",38.907231,-77.036464,319618
NC,Greenville-New Bern-Washington,WSRP-AM,910,"Jacksonville, NC",34.754052,-77.430241,128518
NC,Raleigh-Durham,WRTG-AM,1000,"Raleigh, NC",35.77959,-78.638179,205053
NC,Raleigh-Durham,WGSB-AM,1060,"Washington, DC",38.907231,-77.036464,182762
NC,Raleigh-Durham,WLLN-AM,1370,"Lillington, NC",35.399327,-78.815853,43826
NC,Raleigh-Durham,WTIK-AM,1310,"Durham, NC",35.994033,-78.898619,304067
NE,Omaha,KYDZ-AM,1180,"Omaha, NE",41.252363,-95.997988,366810
NE,Omaha,KMMQ-AM,1020,"Omaha, NE",41.252363,-95.997988,157634
NM,Albuquerque-Santa Fe,KALN-FM,96.1,"San Luis, AZ",32.487,-114.78218,191162
NM,Albuquerque-Santa Fe,KRZY-FM,105.9,"Albuquerque, NM",35.110703,-106.609991,80243
NM,Albuquerque-Santa Fe,KKRG-FM,105.1,"Albuquerque, NM",35.110703,-106.609991,219622
NM,Albuquerque-Santa Fe,KJFA-FM,101.3,"Albuquerque, NM",35.110703,-106.609991,72604
NM,Albuquerque-Santa Fe,KRZY-FM,105.9,"Albuquerque, NM",35.110703,-106.609991,108706
NV,Las Vegas,KLSQ-AM,870,"Las Vegas, NV",36.114646,-115.172816,173313
NV,Reno,KRNV-FM,102.1,"Reno, NV",39.529633,-119.813803,292416
NY,New York,WQBU-FM,92.7,"New York, NY",40.714353,-74.005973,73351
NY,New York,WWRV-AM,1330,"Patterson, NJ",40.916765,-74.171811,296088
NY,New York,WTOC-AM,1360,"Paterson, NJ",40.916765,-74.171811,339037
NY,New York,WRKL-AM,910,"New York, NY",40.714353,-74.005973,218548
NY,New York,WWLC-AM,1440,"Paterson, NJ",40.916765,-74.171811,269317
NY,New York,WXNY-FM,96.3,"NY, NY",40.714353,-74.005973,49939
NY,New York,WADO-AM,1280,"New York, NY",40.714353,-74.005973,237953
NY,New York,WNYH-AM,740,"Forest Hill, NY",42.079241,-77.001077,232784
NY,New York,WJDM-AM,1530,"New York, NY",40.714353,-74.005973,343007
NY,New York,WRVP-AM,1310,"Paterson, NJ",40.916765,-74.171811,241140
NY,New York,WNYG-AM,1440,"Babylon, NY",40.695655,-73.325675,352644
OH,Cleveland,WCSB-FM,89.3,"Cleveland, OH",41.499495,-81.695409,98951
OK,Oklahoma City,KZUE-AM,1460,"El Reno, OK",35.532274,-97.955049,60310
OK,Tulsa,KXTD-AM,1530,"Tulsa, OK",36.153982,-95.992775,28866
OR,"Bend, OR",KRDM-AM,1240,"Redmond, OR",44.27262,-121.173921,257566
OR,Eugene,KXOR-AM,660,"Eugene, OR",44.052069,-123.086754,194209
OR,"Portland, OR",KWIP-AM,880,"Dallas, OR",44.919284,-123.317047,88806
OR,"Portland, OR",KPCN-LP,95.9,"Woodburn, OR",45.143731,-122.855372,158978
OR,"Portland, OR",KRYP-FM,93.1,"Portland, OR",45.523452,-122.676207,206281
OR,"Portland, OR",KBNO-FM,89.3,"Hood River, OR",45.705397,-121.521462,220622
OR,"Portland, OR",KRYN-AM,1230,"Washougal, WA",45.582619,-122.353425,278670
PA,Harrisburg-Lancaster-Leb-York,WVZN-AM,1580,"Paterson, NJ",40.916765,-74.171811,374322
PA,Harrisburg-Lancaster-Leb-York,WDAC-FM,94.5,"Lancaster, PA",40.037876,-76.305514,376005
PA,Harrisburg-Lancaster-Leb-York,WLCH-FM,91.3,"Lancaster, PA",40.037876,-76.305514,293040
PA,Philadelphia,WPWA-AM,1590,"Aston, PA",39.864819,-75.425732,224225
PA,Philadelphia,WXAC-FM,91.3,"Temple, PA",40.408704,-75.921596,257492
PA,Philadelphia,WBYN-FM,107.5,"Boyertown, PA",40.333708,-75.637408,28066
PR,Puerto Rico,WXRF-AM,1590,"San Juan, PR",18.466334,-66.105722,157644
PR,Puerto Rico,WNIK-FM,106.5,"Arecibo, PR",18.388009,-66.665278,368588
PR,San Juan,WIBS-AM,1540,"Guayama, PR",17.984133,-66.113777,95569
PR,San Juan,WKAQ-AM,580,"Hato Rey, PR",18.386303,-66.058249,264435
PR,San Juan,WMNT-AM,1500,"Manati, PR",18.420488,-66.486673,62492
PR,San Juan,WUKQ-AM,1420,"Ponce, PR",18.011077,-66.614062,284567
PR,San Juan,WIDI-FM,98.3,"Quebradillas, PR",18.473833,-66.938512,34572
SC,"Charleston, SC",WZJY-AM,1480,"Charleston, SC",32.776566,-79.930922,121586
SC,"Charleston, SC",WAZS-AM,980,"Charleston, SC",32.776566,-79.930922,399399
SC,"Charleston, SC",WAZS-AM,980,"Charlestown, SC",32.776566,-79.930922,284566
SC,"Columbia, SC",WCEO-AM,840,"Columbia, SC",34.00071,-81.034814,206466
SC,Greenville-Sprtnbrg-Ashvl-Andrsn,WSHE-FM,99.5,"Iman, SC",35.047062,-82.090109,177554
SC,Greenville-Sprtnbrg-Ashvl-Andrsn,WDAB-AM,1580,"Travelers Rest, SC",34.967617,-82.443455,265082
TN,Chattanooga,WOCE-FM,101.9,"Dalton, GA",34.769802,-84.970223,168132
TN,Knoxville,WKGN-AM,1340,"Charlotte, NC",35.227087,-80.843127,152478
TN,Knoxville,WKZX-FM,93.5,"Lenoir City, TN",35.7973,-84.25603,175045
TN,Memphis,WGSF-AM,1030,"Memphis, TN",35.149534,-90.04898,211656
TX,Amarillo,KPAN-FM,106.3,"Hereford, TX",34.815062,-102.397704,299983
TX,Amarillo,KKNM-FM,96.5,"Bobina, NM",34.51994,-105.87009,215680
TX,Amarillo,KQFX-FM,104.3,"Amarillo, TX",35.221997,-101.831297,255958
TX,Amarillo,KDHN-AM,1470,"Dimmitt, TX",34.550903,-102.311861,335282
TX,Amarillo,KPAN-AM,860,"Hereford, TX",34.815062,-102.397704,238933
TX,Amarillo,KWKA-AM,680,"CLOVIS, NM",34.404799,-103.205227,22332
TX,Amarillo,KGRW-FM,94.7,"Amarillo, TX",35.221997,-101.831297,128339
TX,Corpus Christi,KRIK-FM,100.5,"San Luis, AZ",32.487,-114.78218,350792
TX,Corpus Christi,KGWT-FM,93.5,"San Luis, AR",21.110161,-101.693273,390203
TX,Corpus Christi,KBNJ-FM,91.7,"Corpus Christi, TX",27.800583,-97.396381,39586
TX,Dallas-Ft. Worth,KCBI-FM,90.9,"Arlington, TX",32.735687,-97.108066,375648
TX,Dallas-Ft. Worth,KFLC-AM,1270,"Dallas, TX",32.78014,-96.800451,178217
TX,Dallas-Ft. Worth,KDXX-FM,107.1,"Dallas, TX",32.78014,-96.800451,360755
TX,Dallas-Ft. Worth,KOYE-FM,96.7,"Tyler, TX",32.35126,-95.301062,156141
TX,Dallas-Ft. Worth,KFZO-FM,99.1,"Dallas, TX",32.78014,-96.800451,20812
TX,Dallas-Ft. Worth,KLNO-FM,94.1,"Dallas, TX",32.78014,-96.800451,12459
TX,El Paso,KVER-FM,91.1,"El Paso, TX",31.75872,-106.486931,398129
TX,El Paso,KAMA-AM,750,"El Paso, TX",31.75872,-106.486931,348489
TX,El Paso,KRUC-FM,89.9,"Pharr, TX",26.194796,-98.183622,343854
TX,El Paso,KBNA-FM,97.5,"El Paso, TX",31.75872,-106.486931,63569
TX,Harlingen-Wslco-Brownsville-McA,KRIO-FM,97.7,"Edinburg, TX",26.301737,-98.163343,47484
TX,Harlingen-Wslco-Brownsville-McA,KRIO-AM,910,"Edinburg, TX",26.301737,-98.163343,88420
TX,Harlingen-Wslco-Brownsville-McA,KBNR-FM,88.3,"Brownsville, TX",25.901747,-97.497484,133687
TX,Harlingen-Wslco-Brownsville-McA,KOIR-FM,88.3,"Edinburg, TX",26.301737,-98.163343,25672
TX,Harlingen-Wslco-Brownsville-McA,KVMV-FM,96.9,"McAllen, TX",26.203407,-98.230012,292179
TX,Harlingen-Wslco-Brownsville-McA,KGBT-AM,1530,"Mc Allen, TX",33.137268,-96.697355,291926
TX,Houston,KLAT-AM,1010,"Houston, TX",29.760193,-95.36939,295155
TX,Houston,KLVL-AM,1480,"Houston, TX",29.760193,-95.36939,109155
TX,Laredo,KBNL-FM,89.9,"Laredo, TX",27.506407,-99.507542,67768
TX,Laredo,KBNL-FM,89.9,"Laredo, TX",27.506407,-99.507542,186966
TX,Laredo,KLAR-AM,1300,"Laredo, TX",27.506407,-99.507542,2962
TX,Laredo,KJJS-FM,103.9,"San Luis, AR",21.110161,-101.693273,37781
TX,Odessa-Midland,KMMZ-FM,101.3,"Odessa, TX",31.845682,-102.367643,274391
TX,San Antonio,KGSX-FM,95.1,"San Antonio, TX",29.424122,-98.493628,194781
TX,San Antonio,KEPX-FM,89.5,"Eagle Pass, TX",28.709143,-100.499521,25297
TX,San Antonio,KEPI-FM,88.7,"Eagle Pass, TX",28.709143,-100.499521,73936
TX,San Antonio,KHMC-FM,95.9,"Victoria, TX",28.805267,-97.003598,58840
TX,San Antonio,KCOR-AM,1350,"San Antonio, TX",29.424122,-98.493628,75480
TX,Waco-Temple-Bryan,KWOW-FM,104.1,"Waco, TX",31.549333,-97.14667,118121
UT,Salt Lake City,KSVN-AM,730,"West Heaven, UT",41.203,-112.051053,313593
UT,Salt Lake City,KBMG-FM,106.1,"Salt Lake City, UT",40.760779,-111.891047,115066
VA,Richmond-Petersburg,WBTK-AM,1380,"Richmond, VA",37.540725,-77.436048,103661
WA,Seattle-Tacoma,KLDY-AM,1280,"Seattle, WA",47.60621,-122.332071,116203
WA,Seattle-Tacoma,KKMO-AM,1360,"Seattle, WA",47.60621,-122.332071,81359
WA,Seattle-Tacoma,KNTB-AM  ,1480,"Seatle, WA",47.60621,-122.332071,33450
WA,Seattle-Tacoma,KSVR-FM,90.1,"Mt. Vernon, WA",48.421216,-122.334047,11352
WA,Seattle-Tacoma,KBRO-AM  ,1490,"Kent, WA",47.380934,-122.234843,211031
WA,Seattle-Tacoma,KXPA-AM,1540,"Seattle, WA",47.60621,-122.332071,297184
WA,Spokane,KLES-FM,101.7,"Prosser, WA",46.2068,-119.768922,301364
WA,Spokane,KWLN-FM,103.3,"Wenatchee, WA",47.42346,-120.310349,396589
WA,Spokane,KRSC-AM,1400,"Seattle, WA",47.60621,-122.332071,297206
WA,Yakima-Pasco-Richland-Kennewick,KMNA-FM,98.7,"Prosser, WA",46.2068,-119.768922,114168
WA,Yakima-Pasco-Richland-Kennewick,ALEG-IN,100,"Centralia, WA",46.716214,-122.954297,92991
WA,Yakima-Pasco-Richland-Kennewick,KZTA-FM,96.6,"Yakima, WA",46.602071,-120.505899,314674
WA,Yakima-Pasco-Richland-Kennewick,KWDR-FM,93.5,"Pasco, WA",46.239579,-119.100566,349161
WA,Yakima-Pasco-Richland-Kennewick,KVAN-AM,1560,"Walla Walla, WA",46.064581,-118.343021,300649
WA,Yakima-Pasco-Richland-Kennewick,KDNA-FM,91.9,"Granger, WA",46.342074,-120.187273,359748
WA,Yakima-Pasco-Richland-Kennewick,KDYM-AM,1230,"Yakima, WA",46.602071,-120.505899,169450
